movieId,title,genres,movieId,imdbId
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1,tt0114709
2,Jumanji (1995),Adventure|Children|Fantasy,2,tt0113497
3,Grumpier Old Men (1995),Comedy|Romance,3,tt0113228
4,Waiting to Exhale (1995),Comedy|Drama|Romance,4,tt0114885
5,Father of the Bride Part II (1995),Comedy,5,tt0113041
6,Heat (1995),Action|Crime|Thriller,6,tt0113277
7,Sabrina (1995),Comedy|Romance,7,tt0114319
8,Tom and Huck (1995),Adventure|Children,8,tt0112302
9,Sudden Death (1995),Action,9,tt0114576
10,GoldenEye (1995),Action|Adventure|Thriller,10,tt0113189
11,"American President, The (1995)",Comedy|Drama|Romance,11,tt0112346
12,Dracula: Dead and Loving It (1995),Comedy|Horror,12,tt0112896
13,Balto (1995),Adventure|Animation|Children,13,tt0112453
14,Nixon (1995),Drama,14,tt0113987
15,Cutthroat Island (1995),Action|Adventure|Romance,15,tt0112760
16,Casino (1995),Crime|Drama,16,tt0112641
17,Sense and Sensibility (1995),Drama|Romance,17,tt0114388
18,Four Rooms (1995),Comedy,18,tt0113101
19,Ace Ventura: When Nature Calls (1995),Comedy,19,tt0112281
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,20,tt0113845
21,Get Shorty (1995),Comedy|Crime|Thriller,21,tt0113161
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,22,tt0112722
23,Assassins (1995),Action|Crime|Thriller,23,tt0112401
24,Powder (1995),Drama|Sci-Fi,24,tt0114168
25,Leaving Las Vegas (1995),Drama|Romance,25,tt0113627
26,Othello (1995),Drama,26,tt0114057
27,Now and Then (1995),Children|Drama,27,tt0114011
28,Persuasion (1995),Drama|Romance,28,tt0114117
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,29,tt0112682
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,30,tt0115012
31,Dangerous Minds (1995),Drama,31,tt0112792
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,32,tt0114746
33,Babe (1995),Children|Drama,34,tt0112431
34,Dead Man Walking (1995),Crime|Drama,36,tt0112818
35,It Takes Two (1995),Children|Comedy,38,tt0113442
36,Clueless (1995),Comedy|Romance,39,tt0112697
37,"Cry, the Beloved Country (1995)",Drama,40,tt0112749
38,Richard III (1995),Drama|War,41,tt0114279
39,Dead Presidents (1995),Action|Crime|Drama,42,tt0112819
40,Restoration (1995),Drama,43,tt0114272
41,Mortal Kombat (1995),Action|Adventure|Fantasy,44,tt0113855
42,To Die For (1995),Comedy|Drama|Thriller,45,tt0114681
43,How to Make an American Quilt (1995),Drama|Romance,46,tt0113347
44,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,47,tt0114369
45,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,48,tt0114148
46,When Night Is Falling (1995),Drama|Romance,49,tt0114916
47,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,50,tt0114814
48,Mighty Aphrodite (1995),Comedy|Drama|Romance,52,tt0113819
